t,pe,ke,te,q1,q2
3.580000,-0.103523,0.103523,-0.000000,-1.548561,-3.493032
3.590000,-0.084755,0.084755,-0.000000,-1.557980,-3.458682
3.600000,-0.073022,0.073022,-0.000000,-1.562470,-3.429263
3.610000,-0.068324,0.068324,-0.000000,-1.562032,-3.404769
3.620000,-0.070661,0.070661,-0.000000,-1.556670,-3.385198
3.630000,-0.080032,0.080032,-0.000000,-1.546385,-3.370551
3.640000,-0.096431,0.096431,-0.000000,-1.531181,-3.360833
3.650000,-0.119839,0.119839,-0.000000,-1.511063,-3.356047
3.660000,-0.150219,0.150219,-0.000000,-1.486039,-3.356199
3.670000,-0.187499,0.187499,-0.000000,-1.456119,-3.361293
3.680000,-0.231560,0.231560,-0.000000,-1.421322,-3.371334
3.690000,-0.282217,0.282217,-0.000000,-1.381674,-3.386322
3.700000,-0.339200,0.339200,-0.000000,-1.337210,-3.406256
3.710000,-0.402132,0.402132,-0.000000,-1.287983,-3.431128
3.720000,-0.470513,0.470513,-0.000000,-1.234061,-3.460929
3.730000,-0.543692,0.543692,-0.000000,-1.175533,-3.495640
3.740000,-0.620863,0.620863,-0.000000,-1.112511,-3.535239
3.750000,-0.701042,0.701042,-0.000000,-1.045137,-3.579692
3.760000,-0.783072,0.783072,-0.000000,-0.973582,-3.628956
3.770000,-0.865627,0.865627,-0.000000,-0.898049,-3.682977
3.780000,-0.947229,0.947229,-0.000000,-0.818777,-3.741687
3.790000,-1.026281,1.026281,-0.000000,-0.736039,-3.805003
3.800000,-1.101109,1.101109,-0.000000,-0.650144,-3.872821
3.810000,-1.170020,1.170020,-0.000000,-0.561434,-3.945016
3.820000,-1.231364,1.231364,-0.000000,-0.470281,-4.021440
3.830000,-1.283607,1.283607,-0.000000,-0.377085,-4.101914
3.840000,-1.325401,1.325401,-0.000000,-0.282265,-4.186228
3.850000,-1.355645,1.355645,-0.000000,-0.186255,-4.274137
3.860000,-1.373544,1.373544,-0.000000,-0.089501,-4.365358
3.870000,-1.378642,1.378642,-0.000000,0.007554,-4.459572
3.880000,-1.370842,1.370842,-0.000000,0.104465,-4.556417
3.890000,-1.350409,1.350409,-0.000000,0.200799,-4.655493
3.900000,-1.317947,1.317947,-0.000000,0.296135,-4.756362
3.910000,-1.274369,1.274369,-0.000000,0.390069,-4.858553
3.920000,-1.220841,1.220841,-0.000000,0.482214,-4.961566
3.930000,-1.158736,1.158736,-0.000000,0.572203,-5.064878
3.940000,-1.089565,1.089565,-0.000000,0.659692,-5.167950
3.950000,-1.014922,1.014922,-0.000000,0.744358,-5.270240
3.960000,-0.936425,0.936425,-0.000000,0.825897,-5.371209
3.970000,-0.855661,0.855661,-0.000000,0.904034,-5.470334
3.980000,-0.774141,0.774141,-0.000000,0.978514,-5.567116
3.990000,-0.693271,0.693271,-0.000000,1.049110,-5.661093
4.000000,-0.614313,0.614313,-0.000000,1.115618,-5.751842
4.010000,-0.538382,0.538382,-0.000000,1.177863,-5.838992
4.020000,-0.466427,0.466427,-0.000000,1.235693,-5.922222
4.030000,-0.399239,0.399239,-0.000000,1.288984,-6.001263
4.040000,-0.337457,0.337457,-0.000000,1.337633,-6.075896
4.050000,-0.281580,0.281580,-0.000000,1.381560,-6.145952
4.060000,-0.231987,0.231987,-0.000000,1.420702,-6.211303
4.070000,-0.188952,0.188952,-0.000000,1.455012,-6.271856
4.080000,-0.152667,0.152667,-0.000000,1.484458,-6.327550
4.090000,-0.123257,0.123257,-0.000000,1.509017,-6.378346
4.100000,-0.100799,0.100799,-0.000000,1.528672,-6.424221
4.110000,-0.085338,0.085338,-0.000000,1.543415,-6.465166
4.120000,-0.076896,0.076896,-0.000000,1.553238,-6.501178
4.130000,-0.075482,0.075482,-0.000000,1.558137,-6.532254
4.140000,-0.081099,0.081099,-0.000000,1.558110,-6.558395
4.150000,-0.093748,0.093748,-0.000000,1.553153,-6.579596
4.160000,-0.113426,0.113426,-0.000000,1.543264,-6.595850
